0800	美食
0840	中餐馆
0841	鲁菜
0842	川菜
0843	粤菜
0844	徽菜
0845	台湾菜
0846	贵州菜
0847	江浙菜
0848	湘菜
0849	湖北菜
084a	清真菜
084b	云南菜
084c	东北菜
084d	北京菜
084e	闽南菜
084f	西北菜
0850	素菜
0851	火锅
0852	烤鸭
0853	海鲜
0854	家常菜
0880	西餐厅
0881	意大利菜
0882	法国菜
0883	德国菜
0884	俄罗斯菜
0885	拉美烧烤
0886	中东料理
0887	披萨
0888	牛排
08c0	日本菜
08c1	日本料理
08c2	日式烧烤
08c3	寿司
0900	韩国菜
0940	东南亚菜
0941	泰国菜
0942	越南菜
0943	印度菜
0944	菲律宾菜
0945	印尼风味
0980	自助餐
09c0	快餐
09c1	中式快餐
09c2	西式快餐
0a00	小吃
0a01	粉面馆
0a02	粥店
0a03	饺子馆
0a04	馄饨店
0a05	麻辣烫
0a06	关东煮
0a07	熟食
0a08	零食
0a09	包子
0a40	蛋糕甜点
0a41	蛋糕西点
0a42	冰淇淋
0a43	甜点饮品
0a80	烧烤
0fc0	其他
1000	宾馆
1040	星级酒店
1041	五星级酒店
1042	四星级酒店
1043	三星级酒店
1080	快捷酒店
10c0	公寓式酒店
1100	旅店
1101	家庭旅馆
1102	青年旅舍
1103	招待所
1140	农家院
17c0	其他
1800	购物
1840	购物中心
1880	超市/便利店
18c0	家电
18c1	空调
18c2	冰箱
18c3	洗衣机
18c4	微波炉
1900	数码
1901	电脑
1902	摄影
1903	手机
1940	家居建材
1941	家具
1942	灯饰
1943	厨具
1944	卫浴
1945	五金
1980	家纺
1981	床上用品
1982	窗帘
1983	坐垫
1984	地毯
19c0	书店/音像店
19c1	书店
19c2	音像店
1a00	办公用品
1a40	体育用品
1a80	户外用品
1ac0	服装/鞋帽/箱包
1ac1	鞋子
1ac2	服装
1ac3	箱包
1b00	化妆品
1b40	母婴用品
1b80	珠宝饰品
1b81	婚戒
1bc0	文物古玩
1c00	钟表
1c40	眼镜
1c80	花店/礼品店
1c81	花店
1c82	礼品店
1cc0	烟酒
1d00	茶叶/茶具
1d01	茶叶
1d02	茶具
1d40	劳保用品
1d80	乐器行
1d81	琴行
1dc0	集市/批发市场
1dc1	农贸市场
1dc2	服装批发市场
1dc3	轻纺市场
1dc4	药材批发市场
1dc5	文具批发市场
1dc6	小商品市场
1dc7	花鸟市场
1dc8	二手市场
1fc0	其他
2000	汽车服务
2040	汽车销售
2041	4S店
2042	汽车销售综合店
2080	汽车美容
2081	汽车保养
2082	汽车装饰
20c0	洗车
2100	汽车租赁
2140	汽车维修
2180	汽车配件
21c0	汽车检验场
27c0	其他
2800	生活服务
2840	邮局
2880	通讯营业厅
2881	电信营业厅
2882	移动营业厅
2883	联通营业厅
2884	铁通营业厅
2885	网通营业厅
28c0	火车票/机票/汽车票售票点
28c1	火车票售票点
28c2	飞机票售票点
28c3	汽车票售票点
2900	裁缝店/洗衣店
2901	裁缝店
2902	洗衣店
2940	图文快印
2941	打印复印
2942	传真
2943	快照
2980	照相馆
2981	艺术写真
2982	证件照
29c0	房产中介
2a00	数码维修
2a01	电脑维修
2a02	手机维修
2a40	家政服务
2a41	搬家
2a42	保姆
2a43	管道疏通
2a44	钟点工
2a45	家电维修
2a46	送水
2a47	开锁
2a80	彩票
2ac0	宠物
2ac1	宠物美容
2ac2	宠物用品
2ac3	宠物医院
2ac4	宠物寄养
2ac5	宠物食品
2b00	报刊亭
2b40	刻章
2b80	车辆维修
2b81	摩托车维修
2b82	自行车维修
2b83	汽车维修
2bc0	公交卡充值点
2c00	快递公司
2c40	旅行社
2c41	国际旅行社
2c80	公共厕所
2cc0	墓地陵园
2fc0	其他
3000	结婚
3040	婚纱摄影
3080	婚纱礼服
30c0	婚庆服务
30c1	婚庆策划
30c2	庆典用品
30c3	婚庆租车
30c4	司仪督导
30c5	跟妆造型
3100	婚介
37c0	其他
3800	丽人
3840	美容
3841	SPA
3842	面部护理
3880	美发
3881	洗染烫
38c0	瘦身纤体
3900	美甲
3fc0	其他
4000	金融
4040	银行
4041	ATM机
4080	典当行
40c0	信用社
40c1	农村信用社
40c2	城市信用社
4100	保险公司
4140	证券公司
4180	信托公司
41c0	投资公司
4200	担保公司
4240	证券交易市场
47c0	其他
4800	休闲娱乐
4840	度假村/农家院/采摘园
4841	度假村
4842	农家院
4843	采摘园
4880	文化宫
48c0	电影院
4900	音乐厅
4940	剧院
4980	KTV
49c0	夜总会/歌舞厅/娱乐城/迪厅
49c1	夜总会
49c2	歌舞厅
49c3	娱乐城
49c4	迪厅
4a00	商务会馆
4a40	洗浴/按摩/足浴/温泉
4a41	洗浴中心
4a42	桑拿
4a43	温泉
4a44	按摩
4a45	足浴
4a80	网吧
4ac0	游戏
4ac1	电玩
4ac2	棋牌室
4ac3	桌游
4ac4	真人CS
4b00	酒吧/茶座/咖啡厅
4b01	酒吧
4b02	茶座
4b03	咖啡厅
4b40	DIY手工
4b41	DIY蛋糕
4b42	DIY饰品
4fc0	其他
5000	运动健身
5040	体育场馆
5041	游泳馆
5042	羽毛球馆
5043	乒乓球馆
5044	台球馆
5045	保龄球馆
5046	武术馆
5047	体操馆
5048	网球场
5049	篮球场
504a	足球场
504b	溜冰场
504c	高尔夫球场
504d	滑雪场
504e	赛马场
5080	健身房
50c0	舞蹈
50c1	芭蕾
5100	瑜伽
5140	舍宾
5180	垂钓
51c0	极限运动
51c1	潜水
51c2	赛车场
51c3	攀岩
51c4	蹦极
51c5	航空滑翔
51c6	冲浪
51c7	定向越野
5200	卡丁车
57c0	其他
5800	医疗
5840	医院
5841	三甲医院
5842	三乙医院
5843	三丙医院
5844	二甲医院
5845	二乙医院
5846	二丙医院
